100	23	2644
120	32	1890
140	42	1427
160	52	1127
180	56	1042
200	61	958
220	77	749
240	92	622
260	95	601
280	97	585
300	110	513
320	121	466
340	135	410
360	144	385
380	166	329
400	180	304
420	192	281
440	203	263
460	214	250
480	229	235
500	229	233
520	246	215
540	252	209
560	260	199
580	270	194
600	294	175
620	294	176
640	333	152
660	305	169
680	327	156
700	354	141
720	368	135
740	390	125
760	405	121
780	366	136
800	433	111
820	426	113
840	427	114
860	434	109
880	459	104
900	468	101
920	474	100
940	477	99
960	492	95
980	530	87
1000	521	88
1020	538	85
1040	565	79
1060	576	77
1080	606	72
1100	596	74
1120	597	74
1140	606	72
1160	625	69
1180	606	73
1200	674	63
1220	672	63
1240	657	65
1260	671	63
1280	716	57
1300	678	62
1320	728	56
1340	729	57
1360	735	56
1380	741	55
1400	772	52
1420	790	50
1440	802	49
1460	779	51
1480	799	49
1500	810	49
1520	829	46
1540	832	46
1560	859	44
1580	875	43
1600	887	42
1620	896	41
1640	913	40
1660	904	40
1680	915	40
1700	944	38
1720	958	37
1740	963	36
1760	988	35
1780	1014	33
1800	1006	33
1820	1024	33
1840	1060	31
1860	1037	32
1880	1109	28
1900	1034	32
1920	1057	31
1940	1050	32
1960	1104	29
1980	1086	29
2000	1131	27

