100	0.037000
120	0.037000
140	0.043000
160	0.046000
180	0.051000
200	0.057000
220	0.064000
240	0.069000
260	0.072000
280	0.080000
300	0.086000
320	0.089000
340	0.100000
360	0.106000
380	0.112000
400	0.120000
420	0.123000
440	0.131000
460	0.137000
480	0.141000
500	0.145000
520	0.153000
540	0.158000
560	0.160000
580	0.169000
600	0.178000
620	0.183000
640	0.186000
660	0.196000
680	0.169000
700	0.174000
720	0.178000
740	0.183000
760	0.197000
780	0.195000
800	0.199000
820	0.203000
840	0.208000
860	0.212000
880	0.216000
900	0.221000
920	0.227000
940	0.232000
960	0.236000
980	0.242000
1000	0.245000
1020	0.252000
1040	0.267000
1060	0.262000
1080	0.269000
1100	0.271000
1120	0.279000
1140	0.279000
1160	0.286000
1180	0.287000
1200	0.282000
1220	0.231000
1240	0.236000
1260	0.237000
1280	0.242000
1300	0.246000
1320	0.251000
1340	0.256000
1360	0.254000
1380	0.263000
1400	0.273000
1420	0.270000
1440	0.275000
1460	0.276000
1480	0.282000
1500	0.285000
1520	0.288000
1540	0.294000
1560	0.296000
1580	0.300000
1600	0.304000
1620	0.310000
1640	0.314000
1660	0.313000
1680	0.319000
1700	0.323000
1720	0.324000
1740	0.334000
1760	0.329000
1780	0.283000
1800	0.286000
1820	0.291000
1840	0.294000
1860	0.296000
1880	0.300000
1900	0.300000
1920	0.305000
1940	0.308000
1960	0.312000
1980	0.312000
2000	0.321000

