100	15	4068
120	13	4682
140	18	3366
160	22	2699
180	27	2187
200	21	2832
220	24	2456
240	28	2102
260	33	1778
280	30	1950
300	27	2172
320	33	1771
340	27	2143
360	28	2084
380	34	1703
400	40	1453
420	38	1523
440	34	1697
460	34	1705
480	34	1722
500	35	1664
520	37	1574
540	34	1709
560	35	1639
580	44	1321
600	38	1523
620	34	1705
640	37	1563
660	41	1419
680	40	1456
700	32	1806
720	38	1525
740	33	1743
760	43	1344
780	37	1571
800	37	1569
820	39	1481
840	32	1820
860	37	1546
880	39	1489
900	35	1662
920	40	1457
940	40	1456
960	45	1288
980	36	1618
1000	39	1478
1020	41	1411
1040	40	1447
1060	38	1517
1080	38	1528
1100	36	1607
1120	43	1352
1140	39	1481
1160	42	1366
1180	37	1583
1200	41	1416
1220	36	1613
1240	40	1457
1260	42	1377
1280	39	1481
1300	37	1568
1320	38	1521
1340	41	1432
1360	35	1663
1380	37	1572
1400	42	1378
1420	36	1617
1440	44	1321
1460	34	1709
1480	35	1654
1500	40	1461
1520	35	1658
1540	36	1614
1560	39	1488
1580	41	1416
1600	37	1561
1620	33	1763
1640	37	1576
1660	37	1559
1680	40	1457
1700	39	1485
1720	37	1563
1740	39	1482
1760	34	1707
1780	35	1649
1800	39	1474
1820	45	1281
1840	39	1484
1860	33	1747
1880	40	1443
1900	40	1454
1920	44	1321
1940	37	1573
1960	38	1525
1980	46	1252
2000	42	1377

